id,title,category_name,category_id,weight,country,price,pattern
55402,Polyester-blend Floral Lace(涤纶-混纺 花卉 蕾丝),Lace(蕾丝),216,248,Korea(韩国),11.23,Floral(花卉)
55401,Enzyme Cotton Stripes Twill(酵素洗 棉 条纹 斜纹),Twill(斜纹),186,212,Korea(韩国),7.92,Stripes(条纹)
54837,Polyester-blend Other Checks Stretch Chiffon(涤纶-混纺 其他格纹 弹力 雪纺),Chiffon(雪纺),178,115,Korea(韩国),7.66,Other Checks(其他格纹)
54802,Cotton Other Checks Twill(棉 其他格纹 斜纹),Twill(斜纹),186,92,Korea(韩国),6.6,Other Checks(其他格纹)
54814,Cotton Other Checks Flannel(棉 其他格纹 法兰绒),Flannel(法兰绒),175,156,Korea(韩国),7.26,Other Checks(其他格纹)
54906,Polyester-blend Stretch Twill(涤纶-混纺 弹力 斜纹),Twill(斜纹),186,180,Korea(韩国),7.79,Solid(纯色)
49266,Embossed Polyester Abstract Jacquard(压花 涤纶 抽象 提花),Jacquard(提花),184,146,China(中国),9.92,Abstract(抽象)
49265,Bonded Polyester Wave Clip Jacquard(复合 涤纶 波浪纹 剪花 提花),Clip Jacquard(剪花 提花),183,200,China(中国),11.75,Wave(波浪纹)
49264,Embossed Polyester Diamond Jacquard(压花 涤纶 菱形 提花),Jacquard(提花),184,108,China(中国),9.92,Diamond(菱形)
49263,Crushed Polyester-blend Gingham Check Plain Weave(压皱 涤纶-混纺 维希格 平纹),Plain Weave(平纹),167,115,China(中国),9.92,Gingham Check(维希格)
49262,Polyester Floral Jacquard(涤纶 花卉 提花),Jacquard(提花),184,156,China(中国),9.14,Floral(花卉)
49261,Sequin Polyester-blend Geometric Metallic Yarn Stretch Jacquard Knit(亮片 涤纶-混纺 几何 金属丝 弹力 提花针织),Jacquard Knit(提花针织),208,220,China(中国),10.44,Geometric(几何)
49260,Sequin Polyester-blend Miscellaneous Stretch Jacquard Knit(亮片 涤纶-混纺 杂项 弹力 提花针织),Jacquard Knit(提花针织),208,257,China(中国),10.44,Miscellaneous(杂项)
49259,Sequin Polyester-blend Miscellaneous Stretch Jacquard Knit(亮片 涤纶-混纺 杂项 弹力 提花针织),Jacquard Knit(提花针织),208,185,China(中国),10.44,Miscellaneous(杂项)
49258,Sequin Polyester-blend Conversational Stretch Single Jersey(亮片 涤纶-混纺 趣味图案 弹力 单面针织),Single Jersey(单面针织),199,138,China(中国),10.44,Conversational(趣味图案)
49257,Sequin Polyester-blend Splattered Crochet(亮片 涤纶-混纺 泼墨纹 钩编),Crochet(钩编),217,239,China(中国),13.05,Splattered(泼墨纹)
49256,Sequin Polyester Ethnical Crochet(亮片 涤纶 民族风 钩编),Crochet(钩编),217,275,China(中国),13.05,Ethnical(民族风)
49255,Sequin Polyester Yarn Dye Boucle Low Gauge Knit(亮片 涤纶 色织 圈圈呢 粗针针织),Low Gauge Knit(粗针针织),252,295,China(中国),11.22,Solid(纯色)
49254,Sequin Polyester Dots Vegan Fur(亮片 涤纶 圆点 人造毛皮),Vegan Fur(人造毛皮),225,342,China(中国),11.75,Dots(圆点)
49253,Embroidery Polyester-blend Wave Stretch Jacquard Knit(刺绣 涤纶-混纺 波浪纹 弹力 提花针织),Jacquard Knit(提花针织),208,345,China(中国),14.36,Wave(波浪纹)
49252,Flocking Polyester-blend Dots Chiffon(植绒 涤纶-混纺 圆点 雪纺),Chiffon(雪纺),178,72,China(中国),9.14,Dots(圆点)
49251,Embossed Polyester-blend Geometric Dobby(压花 涤纶-混纺 几何 多臂织),Dobby(多臂织),171,85,China(中国),9.14,Geometric(几何)
49250,Flocking Polyester Conversational Jacquard(植绒 涤纶 趣味图案 提花),Jacquard(提花),184,149,China(中国),9.14,Conversational(趣味图案)
49249,Flocking Cotton Conversational Twill(植绒 棉 趣味图案 斜纹),Twill(斜纹),186,210,China(中国),9.14,Conversational(趣味图案)
49248,Flocking Polyester-blend Plaid Metallic Yarn Stretch Twill(植绒 涤纶-混纺 格子 金属丝 弹力 斜纹),Twill(斜纹),186,192,China(中国),9.14,Plaid(格子)
49247,Flocking Polyester Glen Check Twill(植绒 涤纶 格伦格 斜纹),Twill(斜纹),186,162,China(中国),9.14,Glen Check(格伦格)
49246,Flocking Polyester-blend Other Checks Stretch Twill(植绒 涤纶-混纺 其他格纹 弹力 斜纹),Twill(斜纹),186,233,China(中国),9.14,Other Checks(其他格纹)
